agency name,website,emails
"Varii Promotions","www.varii-promotions.co.uk","&#101;&#110;&#113;&#117;i&#114;ie&#115;&#64;vari&#105;.&#99;&#111;&#46;&#117;&#107;,&#101;nqu&#105;ries&#64;v&#97;ri&#105;&#46;co.&#117;k"
"Beacon Communications","www.beaconcom.jp","hr.recruit@beaconcom.co.jp,inquiries.beacon@beaconcom.co.jp"
"Alivenet Solution Pvt Ltd","www.alivenetsolution.com","support@alivenetsolution"
"Havas Chicago","chi.havas.com","chi.careers@havas.com,paul.marobella@havas.com,saul.delage@havas.com"
"PMS Group","www.pmsafrica.com","info@pms.co.ke,info@pmsafrica.com"
"Parent","www.madebyparent.com","hello@madebyparent.com"
"Megrisoft Limited","www.megrisoft.com","hello@megrisoft.com"
"IMC Licensing","www.imclicensing.com","info@imclicensing.com"
"Vibes","www.vibes.com","CustomerCare@vibes.com"
"Switch","switch.us","ChrisJ@switch.us"
"VCCP Berlin","vccp.de","berlin@vccp.com"
"FCB New Zealand","fcb.co.nz","sean.keaney@fcb.com,toby.sellers@fcb.com,fcbaklcareers.sm@fcb.com"
"MK Public Relations","mkpublicrelations.co.uk","help@mkpublicrelations.co.uk"
"Intouch Solutions","www.intouchsol.com","getintouch@intouchsol.com"
"Reprise Media","www.reprisemedia.com","newyork@reprisedigital.com,ontherecord@rerprisedigital.com"
"Magnetic","www.magnetic.com","info@magnetic.com"
"McKinney","mckinney.com","hello@mckinney.com"
"Crispin Porter + Bogusky","www.cpbgroup.com","dwhitney@cpbgroup.com"
"Uber","www.uberagency.com","hello@uberagency.com"
"Goldmine Advertising","goldmineltd.com","anthony@goldmineltd.com,sachin@goldmineltd.com,ravinder@goldmineltd.com,aastha@goldmineltd.com,archanas@goldmineltd.com,rajinder@goldmineltd.com,satishsingla@goldmineltd.com"
"MDR","mdradvertising.com","jobs@mdradvertising.com,internships@mdradvertising.com,newbiz@mdradvertising.com,press@mdradvertising.com"
"Gyro","www.gyro.com","ignitesomething@gyro.com"
"Ariadna","www.ariadnacommunicationsgroup.com","german.baher@ariadnacg.com,max.gomez@ariadnacg.com,beatriz.nexans@ariadnacg.com,juan.sabogal@ariadnacg.com,edwin.sanchez@ariadnacg.com,cristinanne.bussab@ariadnacg.com,carolina.castillo@ariadnacg.com,ricardo.aguilar@ariadnacg.com,cecilia.riera@ariadnacg.com,andres.rodriguez@ariadnacg.com,valentina.robayo@ariadnacg.com"
"CSE","groupcse.com","info@yahagency.com"
